Area_Name,Year,Rape_Cases,Murder_Cases,Auto_Theft,Theft_Cases,Total_Cases,LAT,LON
0,Andaman & Nicobar Islands,2001,3,13,4,143,163,11.66702557,92.73598262
1,Andaman & Nicobar Islands,2002,2,17,2,110,131,11.66702557,92.73598262
2,Andaman & Nicobar Islands,2003,2,21,5,128,156,11.66702557,92.73598262
3,Andaman & Nicobar Islands,2004,10,15,9,175,209,11.66702557,92.73598262
4,Andaman & Nicobar Islands,2005,4,15,6,172,197,11.66702557,92.73598262
5,Andaman & Nicobar Islands,2006,6,5,6,191,208,11.66702557,92.73598262
6,Andaman & Nicobar Islands,2007,3,15,8,223,249,11.66702557,92.73598262
7,Andaman & Nicobar Islands,2008,12,8,11,232,263,11.66702557,92.73598262
8,Andaman & Nicobar Islands,2009,18,18,10,238,284,11.66702557,92.73598262
9,Andaman & Nicobar Islands,2010,24,10,22,219,275,11.66702557,92.73598262
10,Andhra Pradesh,2001,871,2783,3115,25070,31839,14.7504291,78.57002559
11,Andhra Pradesh,2002,1002,2651,3450,28340,35443,14.7504291,78.57002559
12,Andhra Pradesh,2003,946,2914,4732,33315,41907,14.7504291,78.57002559
13,Andhra Pradesh,2004,1016,2640,4741,32463,40860,14.7504291,78.57002559
14,Andhra Pradesh,2005,935,2928,5465,32858,42186,14.7504291,78.57002559
15,Andhra Pradesh,2006,1049,2940,5470,32815,42274,14.7504291,78.57002559
16,Andhra Pradesh,2007,1070,2850,6309,32739,42968,14.7504291,78.57002559
17,Andhra Pradesh,2008,1257,2762,7848,34242,46109,14.7504291,78.57002559
18,Andhra Pradesh,2009,1188,2475,8257,33162,45082,14.7504291,78.57002559
19,Andhra Pradesh,2010,1362,2538,7422,36407,47729,14.7504291,78.57002559
20,Arunachal Pradesh,2001,33,83,36,858,1010,27.10039878,93.61660071
21,Arunachal Pradesh,2002,38,61,51,819,969,27.10039878,93.61660071
22,Arunachal Pradesh,2003,31,77,50,776,934,27.10039878,93.61660071
23,Arunachal Pradesh,2004,42,67,75,730,914,27.10039878,93.61660071
24,Arunachal Pradesh,2005,35,81,119,949,1184,27.10039878,93.61660071
25,Arunachal Pradesh,2006,37,60,74,871,1042,27.10039878,93.61660071
26,Arunachal Pradesh,2007,48,68,116,896,1128,27.10039878,93.61660071
